-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 07/01/2021 through 07/31/2021 
Location: Latitude  42.86   Longitude 132.414 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 120.27 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN
2021,7,1,4.45,390.34
2021,7,2,5.6,376.67
2021,7,3,4.59,382.66
2021,7,4,3.21,380.98
2021,7,5,5.9,379.77
2021,7,6,5.24,387.31
2021,7,7,3.67,392.47
2021,7,8,4.81,385.79
2021,7,9,4.24,384.16
2021,7,10,4.6,395.59
2021,7,11,4.88,392.88
2021,7,12,5.64,393.99
2021,7,13,5.76,386.79
2021,7,14,4.77,401.86
2021,7,15,4.16,409.62
2021,7,16,4.39,409.66
2021,7,17,6.77,396.49
2021,7,18,7.2,396.63
2021,7,19,7.06,402.59
2021,7,20,7.45,400.53
2021,7,21,6.32,415.09
2021,7,22,6.92,409.41
2021,7,23,7.11,407.29
2021,7,24,7.49,395.88
2021,7,25,7.52,393.64
2021,7,26,7.22,400.7
2021,7,27,7.49,393.66
2021,7,28,5.93,413.98
2021,7,29,5.98,412.58
2021,7,30,6.31,415.19
2021,7,31,6.73,411.66
